B1,B10,B11,B2,B3,B4,B5,B6,B7,landcover
0.12783287,294.14185,290.35114,0.101304516,0.08511587,0.055773653,0.33666635,0.15477231,0.06075137,0
0.12556735,294.61737,290.91125,0.099205226,0.08121516,0.053360015,0.3506017,0.16086745,0.06632145,0
0.12683013,294.99875,290.78653,0.09932507,0.08229283,0.05076318,0.357923,0.15868814,0.062132318,0
0.12357301,295.38455,291.3335,0.09877281,0.083545804,0.053970274,0.3847151,0.17145638,0.07087561,0
0.120667264,295.45035,290.79242,0.093028896,0.07004232,0.049376838,0.29207048,0.14398785,0.06175697,0
0.12075736,295.06967,290.97208,0.09532646,0.07636028,0.04779838,0.34267744,0.15402703,0.053249467,0
0.11960366,295.41382,290.94263,0.093953356,0.0722607,0.046604548,0.29307482,0.13067383,0.05004733,0
0.12409109,295.33823,291.19553,0.096768014,0.07736925,0.051587243,0.33922517,0.16109778,0.063318215,0
0.12575117,295.2748,291.29242,0.09969044,0.083604716,0.05445424,0.4101606,0.19594634,0.07140475,0
0.12828818,294.9014,289.71762,0.10131839,0.08883695,0.061977856,0.40099773,0.19455262,0.07392222,0
0.13310897,294.67297,287.93762,0.1080956,0.09121846,0.06777089,0.37961733,0.19254746,0.07382119,0
0.13287729,292.7309,288.92828,0.1087578,0.09089409,0.06702946,0.27317703,0.12325054,0.051208686,0
0.1330163,292.42102,288.69482,0.10885048,0.09119529,0.066959955,0.28874198,0.13009912,0.050355602,0
0.12963873,293.80606,290.03955,0.10406741,0.08653329,0.05762349,0.33020812,0.14342284,0.055680968,0
0.13229805,291.83646,287.10904,0.1085261,0.089990474,0.065870985,0.28826305,0.12769423,0.06554965,0
0.13292362,293.21893,289.84598,0.10871146,0.09161234,0.06614902,0.35222328,0.15986979,0.066334374,0
0.13215902,292.87054,289.81924,0.10864195,0.09059288,0.06573197,0.349999,0.15762235,0.066334374,0
0.12738602,293.84332,290.23428,0.10008107,0.08040283,0.054188672,0.34578216,0.15618584,0.070819415,0
0.12847245,295.23694,290.67932,0.10412684,0.08485243,0.05619749,0.37157074,0.17518175,0.06564064,0
0.12440649,295.35532,290.50922,0.09834327,0.08171271,0.056162562,0.38882926,0.17939036,0.066909716,0
